hora	latitude	longitude	velocidade_gps	altitude	tensao	corrente	velocidade
2023-11-08 14:05:30.788	-15.98944	-48.04565	1.82	0	50.56	-2.44	0
2023-11-08 14:05:31.783	-15.98943	-48.04567	3.833	0	50.62	-2.44	0
2023-11-08 14:05:32.990	-15.98943	-48.04567	1.411	0	50.62	-2.44	0
2023-11-08 14:05:33.743	-15.98943	-48.04568	0.683	0	50.62	-3.66	0
2023-11-08 14:05:34.825	-15.98943	-48.04567	0.365	0	50.62	-2.44	0
2023-11-08 14:05:35.777	-15.98943	-48.04566	0.619	0	50.62	-2.44	0
2023-11-08 14:05:37.020	-15.98943	-48.04566	0.583	0	50.62	-2.44	0
2023-11-08 14:05:38.005	-15.98943	-48.04566	0.583	0	50.62	-2.44	0
2023-11-08 14:05:38.838	-15.98943	-48.04566	0.478	0	49.72	30.51	0
2023-11-08 14:05:39.956	-15.98943	-48.04566	1.635	0	48.82	37.84	3
2023-11-08 14:05:41.035	-15.98942	-48.04567	2.686	0	48.88	34.17	9
2023-11-08 14:05:42.012	-15.98941	-48.04568	3.567	0	48.7	34.17	10
2023-11-08 14:05:43.014	-15.98939	-48.04567	3.842	0	48.4	39.06	12
2023-11-08 14:05:44.012	-15.98937	-48.04568	3.829	0	48.28	37.84	12
2023-11-08 14:05:44.767	-15.98935	-48.04568	3.433	0	48.58	18.31	16
2023-11-08 14:05:46.005	-15.98934	-48.04567	3.179	0	49.54	-2.44	11
2023-11-08 14:05:46.998	-15.98934	-48.04566	2.067	0	49.54	-1.22	8
2023-11-08 14:05:47.758	-15.98933	-48.04567	0.669	0	49.48	0	3
2023-11-08 14:05:48.822	-15.98932	-48.04568	1.145	0	48.04	41.5	4
2023-11-08 14:05:50.034	-15.98932	-48.04568	1.505	0	48.1	35.4	6
2023-11-08 14:05:51.024	-15.98932	-48.04567	1.711	0	46.84	73.24	8
2023-11-08 14:05:51.999	-15.98931	-48.04568	0.88	0	47.38	48.82	11
2023-11-08 14:05:52.989	-15.98930	-48.04568	1.711	0	47.02	57.37	10
2023-11-08 14:05:54.066	-15.98930	-48.04567	2.846	0	47.8	21.97	13
2023-11-08 14:05:55.019	-15.98929	-48.04565	2.75	0	45.58	109.86	11
2023-11-08 14:05:55.978	-15.98928	-48.04564	3.822	0	45.94	89.11	15
2023-11-08 14:05:56.954	-15.98927	-48.04561	4.441	0	45.82	89.11	21
2023-11-08 14:05:57.985	-15.98927	-48.04561	4.441	0	45.82	85.44	19
2023-11-08 14:05:59.081	-15.98927	-48.04559	3.899	0	44.5	136.71	21
2023-11-08 14:06:00.028	-15.98926	-48.04556	5.498	0	44.92	117.18	29
2023-11-08 14:06:01.108	-15.98924	-48.04554	6.142	0	45.04	107.42	31
2023-11-08 14:06:02.112	-15.98922	-48.04551	7.153	0	45.22	101.31	28
2023-11-08 14:06:03.112	-15.98920	-48.04547	6.556	0	45.28	98.87	28
2023-11-08 14:06:04.125	-15.98918	-48.04544	6.861	0	45.52	93.99	29
2023-11-08 14:06:05.135	-15.98917	-48.04542	6.362	0	46.3	64.69	27
2023-11-08 14:06:06.110	-15.98915	-48.04538	6.762	0	46.06	75.68	28
2023-11-08 14:06:07.071	-15.98913	-48.04535	6.965	0	46	78.12	23
2023-11-08 14:06:08.037	-15.98913	-48.04535	5.798	0	46	78.12	26
2023-11-08 14:06:09.124	-15.98910	-48.04532	6.416	0	48.4	-2.44	22
2023-11-08 14:06:10.088	-15.98910	-48.04532	6.416	0	48.52	-1.22	17
2023-11-08 14:06:11.107	-15.98909	-48.04529	6.167	0	48.64	-2.44	10
2023-11-08 14:06:12.062	-15.98908	-48.04527	5.087	0	47.2	48.82	5
2023-11-08 14:06:13.139	-15.98907	-48.04526	3.614	0	46.96	53.71	4
2023-11-08 14:06:14.092	-15.98907	-48.04525	2.344	0	46.78	54.93	7
2023-11-08 14:06:15.161	-15.98906	-48.04525	2.027	0	45.94	101.31	9
2023-11-08 14:06:16.146	-15.98904	-48.04524	2.725	0	45.82	92.77	16
2023-11-08 14:06:17.053	-15.98903	-48.04523	2.724	0	45.34	104.98	19
2023-11-08 14:06:18.161	-15.98902	-48.04522	3.263	0	45.7	93.99	19
2023-11-08 14:06:19.131	-15.98902	-48.04520	3.063	0	46.48	53.71	25
2023-11-08 14:06:20.112	-15.98900	-48.04519	4.163	0	45.76	84.22	22
2023-11-08 14:06:21.065	-15.98897	-48.04517	5.088	0	44.62	133.05	29
2023-11-08 14:06:22.156	-15.98894	-48.04516	5.558	0	45.04	118.4	27
2023-11-08 14:06:23.149	-15.98892	-48.04514	6.174	0	45.4	102.53	26
2023-11-08 14:06:24.171	-15.98889	-48.04511	6.559	0	45.58	97.65	28
2023-11-08 14:06:25.135	-15.98887	-48.04510	5.343	0	45.64	95.21	29
2023-11-08 14:06:26.104	-15.98884	-48.04507	6.906	0	45.76	90.33	30
2023-11-08 14:06:27.097	-15.98884	-48.04507	6.906	0	45.76	91.55	31
2023-11-08 14:06:28.179	-15.98881	-48.04504	7.698	0	45.82	87.89	30
2023-11-08 14:06:29.165	-15.98878	-48.04501	8.359	0	46	91.55	31
2023-11-08 14:06:30.203	-15.98875	-48.04498	8.741	0	47.26	37.84	31
2023-11-08 14:06:31.170	-15.98871	-48.04495	9.338	0	48.16	3.66	29
2023-11-08 14:06:32.124	-15.98868	-48.04492	8.901	0	48.64	-2.44	26
2023-11-08 14:06:33.237	-15.98862	-48.04485	8.556	0	48.76	-3.66	23
2023-11-08 14:06:34.200	-15.98859	-48.04482	8.5	0	48.82	-3.66	19
2023-11-08 14:06:35.183	-15.98857	-48.04480	7.553	0	48.88	-3.66	14
2023-11-08 14:06:36.200	-15.98855	-48.04477	6.424	0	48.7	9.76	10
2023-11-08 14:06:37.152	-15.98854	-48.04475	5.028	0	47.14	53.71	6
2023-11-08 14:06:38.228	-15.98854	-48.04474	4.039	0	47.74	26.85	7
2023-11-08 14:06:39.198	-15.98853	-48.04473	2.731	0	46.84	68.35	11
2023-11-08 14:06:40.160	-15.98853	-48.04472	2.365	0	45.28	114.74	16
2023-11-08 14:06:41.246	-15.98852	-48.04470	2.609	0	44.8	129.39	22
2023-11-08 14:06:42.168	-15.98852	-48.04468	3.464	0	45.4	103.75	24
2023-11-08 14:06:43.201	-15.98851	-48.04466	4.241	0	44.86	129.39	26
2023-11-08 14:06:44.279	-15.98850	-48.04462	6.04	0	45.34	107.42	27
2023-11-08 14:06:45.253	-15.98849	-48.04459	7.131	0	45.52	103.75	27
2023-11-08 14:06:46.221	-15.98848	-48.04455	7.903	0	45.7	93.99	30
2023-11-08 14:06:47.288	-15.98848	-48.04455	7.903	0	45.76	91.55	29
2023-11-08 14:06:48.302	-15.98848	-48.04451	8.422	0	45.82	89.11	31
2023-11-08 14:06:49.291	-15.98847	-48.04446	8.714	0	45.82	89.11	30
2023-11-08 14:06:50.249	-15.98846	-48.04442	9.007	0	45.82	91.55	29
2023-11-08 14:06:51.216	-15.98845	-48.04437	9.265	0	45.88	87.89	31
2023-11-08 14:06:52.294	-15.98844	-48.04433	9.442	0	45.88	89.11	31
2023-11-08 14:06:53.247	-15.98843	-48.04428	9.447	0	45.82	87.89	30
2023-11-08 14:06:54.227	-15.98842	-48.04423	9.439	0	47.86	18.31	30
2023-11-08 14:06:55.233	-15.98841	-48.04419	9.491	0	48.04	12.2	31
2023-11-08 14:06:56.318	-15.98840	-48.04414	9.479	0	48.1	13.42	27
2023-11-08 14:06:57.288	-15.98839	-48.04410	9.446	0	47.38	39.06	22
2023-11-08 14:06:58.255	-15.98838	-48.04405	8.99	0	44.02	170.89	25
2023-11-08 14:06:59.322	-15.98837	-48.04401	8.147	0	44.98	123.29	28
2023-11-08 14:07:00.279	-15.98837	-48.04401	8.147	0	45.58	100.09	26
2023-11-08 14:07:01.243	-15.98837	-48.04398	6.906	0	45.76	91.55	30
2023-11-08 14:07:02.334	-15.98838	-48.04394	6.387	0	45.88	86.66	30
2023-11-08 14:07:03.300	-15.98839	-48.04392	6.578	0	45.94	86.66	31
2023-11-08 14:07:04.263	-15.98842	-48.04389	7.723	0	46.06	84.22	31
2023-11-08 14:07:05.332	-15.98845	-48.04386	8.285	0	46.06	84.22	33
2023-11-08 14:07:06.295	-15.98848	-48.04383	8.857	0	46.12	79.34	31
2023-11-08 14:07:07.313	-15.98850	-48.04379	9.38	0	46.12	80.56	32
2023-11-08 14:07:08.283	-15.98851	-48.04374	9.472	0	46	81.78	32
2023-11-08 14:07:09.237	-15.98853	-48.04370	9.535	0	45.94	85.44	33
2023-11-08 14:07:10.336	-15.98855	-48.04366	9.74	0	45.94	86.66	30
2023-11-08 14:07:11.294	-15.98856	-48.04361	9.745	0	46	83	30
2023-11-08 14:07:12.243	-15.98856	-48.04361	9.745	0	46.12	76.9	31
2023-11-08 14:07:13.286	-15.98857	-48.04356	10.001	0	46.48	64.69	32
2023-11-08 14:07:14.362	-15.98859	-48.04352	9.53	0	46.6	59.81	33
2023-11-08 14:07:15.332	-15.98862	-48.04349	9.742	0	46.78	53.71	36
2023-11-08 14:07:16.288	-15.98866	-48.04346	10.007	0	46.84	54.93	36
2023-11-08 14:07:17.359	-15.98870	-48.04344	9.771	0	46.96	47.6	38
2023-11-08 14:07:18.324	-15.98874	-48.04343	9.854	0	47.02	47.6	39
2023-11-08 14:07:19.299	-15.98879	-48.04343	10.353	0	47.08	46.38	39
2023-11-08 14:07:20.267	-15.98884	-48.04342	10.937	0	47.14	45.16	40
2023-11-08 14:07:21.381	-15.98889	-48.04342	11.342	0	48.34	3.66	41
2023-11-08 14:07:22.350	-15.98895	-48.04342	11.673	0	48.4	7.32	43
2023-11-08 14:07:23.311	-15.98900	-48.04342	11.828	0	48.46	7.32	43
2023-11-08 14:07:24.406	-15.98906	-48.04342	12.08	0	48.7	1.22	41
2023-11-08 14:07:25.389	-15.98906	-48.04342	12.08	0	48.94	-2.44	41
2023-11-08 14:07:26.363	-15.98911	-48.04342	12.287	0	49	-3.66	38
2023-11-08 14:07:27.315	-15.98917	-48.04342	12.54	0	49	-2.44	37
2023-11-08 14:07:28.333	-15.98923	-48.04342	12.73	0	49.06	-2.44	34
2023-11-08 14:07:29.303	-15.98929	-48.04342	12.506	0	49.06	-2.44	30
2023-11-08 14:07:30.388	-15.98935	-48.04342	12.297	0	49.12	-2.44	29
2023-11-08 14:07:31.356	-15.98940	-48.04342	12.208	0	49.18	-2.44	26
2023-11-08 14:07:32.325	-15.98946	-48.04342	11.889	0	48.88	6.1	24
2023-11-08 14:07:33.412	-15.98951	-48.04343	11.341	0	47.98	34.17	25
2023-11-08 14:07:34.383	-15.98956	-48.04343	10.612	0	48.1	25.63	25
2023-11-08 14:07:35.377	-15.98961	-48.04343	10.14	0	47.08	61.03	28
2023-11-08 14:07:36.324	-15.98961	-48.04343	10.14	0	47.02	56.15	26
2023-11-08 14:07:37.306	-15.98965	-48.04345	10.211	0	47.08	53.71	32
2023-11-08 14:07:38.337	-15.98968	-48.04347	8.648	0	47.08	51.26	30
2023-11-08 14:07:39.308	-15.98969	-48.04350	7.861	0	47.26	43.94	35
2023-11-08 14:07:40.273	-15.98970	-48.04354	7.471	0	48.76	-3.66	29
2023-11-08 14:07:41.298	-15.98970	-48.04357	7.305	0	48.88	-2.44	30
2023-11-08 14:07:42.396	-15.98971	-48.04361	7.448	0	48.94	-3.66	27
2023-11-08 14:07:43.364	-15.98972	-48.04364	7.425	0	49	-2.44	27
2023-11-08 14:07:44.355	-15.98973	-48.04367	7.111	0	49.06	-3.66	26
2023-11-08 14:07:45.360	-15.98976	-48.04369	6.35	0	49.12	-2.44	24
2023-11-08 14:07:46.466	-15.98979	-48.04370	6.883	0	49.12	-3.66	22
2023-11-08 14:07:47.316	-15.98979	-48.04370	6.883	0	49.18	-2.44	20
2023-11-08 14:07:48.307	-15.98983	-48.04371	8.19	0	49.18	-3.66	17
2023-11-08 14:07:49.277	-15.98988	-48.04371	8.916	0	49.24	-2.44	17
2023-11-08 14:07:50.398	-15.98992	-48.04371	8.77	0	49.24	-2.44	15
2023-11-08 14:07:51.423	-15.98996	-48.04371	8.485	0	49.3	-2.44	12
2023-11-08 14:07:52.283	-15.98999	-48.04371	8.036	0	49.3	-2.44	8
2023-11-08 14:07:53.382	-15.99003	-48.04371	7.364	0	49.3	-3.66	3
2023-11-08 14:07:54.334	-15.99006	-48.04371	6.694	0	49.36	-2.44	1
2023-11-08 14:07:55.425	-15.99009	-48.04372	6.334	0	49.36	-3.66	0
2023-11-08 14:07:56.434	-15.99009	-48.04372	6.334	0	49.36	-2.44	0
2023-11-08 14:07:57.292	-15.99011	-48.04372	5.194	0	49.36	-2.44	0
2023-11-08 14:07:58.399	-15.99013	-48.04371	4.752	0	49.42	-2.44	0
2023-11-08 14:07:59.383	-15.99015	-48.04369	4.063	0	49.42	-3.66	0
2023-11-08 14:08:00.273	-15.99015	-48.04368	3.192	0	49.42	-2.44	0
2023-11-08 14:08:01.411	-15.99016	-48.04366	1.651	0	49.42	-2.44	0
