hora;latitude;longitude;velocidade_gps;altitude;tensao;corrente;velocidade;acel_x;acel_y;acel_z;gyro_x;gyro_y;gyro_z
2023-11-08 14:05:30.788;-15.98944;-48.04565;1.82;0;50.56;-2.44;0;6.0693;0.122104;8.0948;0.00333078;0.0179862;0.0111914
2023-11-08 14:05:31.783;-15.98943;-48.04567;3.833;0;50.62;-2.44;0;6.01423;0.203507;8.14268;0.00346401;0.0241149;0.0115911
2023-11-08 14:05:32.990;-15.98943;-48.04567;1.411;0;50.62;-2.44;0;6.01423;0.174777;7.9679;0.0042634;0.021317;0.0106585
2023-11-08 14:05:33.743;-15.98943;-48.04568;683;0;50.62;-3.66;0;6.05015;0.174777;8.0924;0.00266462;0.0261133;0.0133231
2023-11-08 14:05:34.825;-15.98943;-48.04567;365;0;50.62;-2.44;0;5.99269;0.179565;8.07564;0.00466309;0.0226493;0.0110582
2023-11-08 14:05:35.777;-15.98943;-48.04566;619;0;50.62;-2.44;0;6.08367;0.248997;7.84101;0.00732772;0.0214502;0.00772741
2023-11-08 14:05:37.020;-15.98943;-48.04566;583;0;50.62;-2.44;0;6.03099;0.148441;8.09719;0.00279786;0.0221164;0.010392
2023-11-08 14:05:38.005;-15.98943;-48.04566;583;0;50.62;-2.44;0;5.94241;0.28491;8.12831;0.00626187;0.0257136;0.012124
2023-11-08 14:05:38.838;-15.98943;-48.04566;478;0;49.72;30.51;0;4.9153;0.921768;8.37013;0.00479632;0.0237152;-0.0021317
2023-11-08 14:05:39.956;-15.98943;-48.04566;1.635;0;48.82;37.84;3;5.63834;0.816423;7.36696;-0.0626187;0.0350398;-0.0527596
2023-11-08 14:05:41.035;-15.98942;-48.04567;2.686;0;48.88;34.17;9;6.48589;-0.797269;9.2919;-0.049562;0.021317;-0.197049
2023-11-08 14:05:42.012;-15.98941;-48.04568;3.567;0;48.7;34.17;10;7.6806;1.2378;6.2752;-0.145222;-0.00159877;-0.219965
2023-11-08 14:05:43.014;-15.98939;-48.04567;3.842;0;48.4;39.06;12;4.956;0.418985;7.40048;-0.184525;0.0191853;-0.157746
2023-11-08 14:05:44.012;-15.98937;-48.04568;3.829;0;48.28;37.84;12;6.50265;0.845153;8.53054;-0.0772741;-0.0238484;-0.156547
2023-11-08 14:05:44.767;-15.98935;-48.04568;3.433;0;48.58;18.31;16;6.6056;-0.251391;7.5561;-0.0972588;0.010392;-0.0784732
2023-11-08 14:05:46.005;-15.98934;-48.04567;3.179;0;49.54;-2.44;11;7.07726;-0.00718261;8.96389;-0.0238484;0.0951271;-0.0235819
2023-11-08 14:05:46.998;-15.98934;-48.04566;2.067;0;49.54;-1.22;8;5.58328;-0.320823;8.81784;-0.00439663;-0.00519602;0.00346401
2023-11-08 14:05:47.758;-15.98933;-48.04567;669;0;49.48;0;3;5.87537;1.32399;8.68616;-0.028245;0.0262466;-0.0341072
2023-11-08 14:05:48.822;-15.98932;-48.04568;1.145;0;48.04;41.5;4;5.21218;0.699107;8.23605;-0.0499617;0.00759418;-0.0598208
2023-11-08 14:05:50.034;-15.98932;-48.04568;1.505;0;48.1;35.4;6;7.62793;-0.342371;8.20972;0.0301103;-0.0944609;-0.0470306
2023-11-08 14:05:51.024;-15.98932;-48.04567;1.711;0;46.84;73.24;8;4.7884;1.83156;8.71729;-0.0270459;0.088732;-0.0406355
2023-11-08 14:05:51.999;-15.98931;-48.04568;0.88;0;47.38;48.82;11;6.74447;-1.25456;8.40365;0.0189188;-0.0107917;-0.0688806
2023-11-08 14:05:52.989;-15.98930;-48.04568;1.711;0;47.02;57.37;10;6.18422;0.356736;10.3765;-0.111914;0.0101256;0.00386371
2023-11-08 14:05:54.066;-15.98930;-48.04567;2.846;0;47.8;21.97;13;5.79636;0.964863;9.72046;-0.00279786;-0.00186524;0.0063951
2023-11-08 14:05:55.019;-15.98929;-48.04565;2.75;0;45.58;109.86;11;5.88495;0.244209;9.49301;0.00866003;0.0171868;0.012124
2023-11-08 14:05:55.978;-15.98928;-48.04564;3.822;0;45.94;89.11;15;6.04775;0.617704;10.2041;0.0313093;0.0222496;0.0153216
2023-11-08 14:05:56.954;-15.98927;-48.04561;4.441;0;45.82;89.11;21;5.87298;0.0502782;8.97586;0.0253139;0.00359724;0.0560904
2023-11-08 14:05:57.985;-15.98927;-48.04561;4.441;0;45.82;85.44;19;4.46758;1.24977;5.91847;0.00692802;0.00119908;0.0401026
2023-11-08 14:05:59.081;-15.98927;-48.04559;3.899;0;44.5;136.71;21;5.55694;-1.25217;6.34224;0.119508;-0.0291776;-0.026513
2023-11-08 14:06:00.028;-15.98926;-48.04556;5.498;0;44.92;117.18;29;7.20415;-0.533907;8.08282;0.0433002;0.0599541;-0.0258469
2023-11-08 14:06:01.108;-15.98924;-48.04554;6.142;0;45.04;107.42;31;5.31513;0.706289;6.13394;0.0235819;0.0149219;0.0281118
2023-11-08 14:06:02.112;-15.98922;-48.04551;7.153;0;45.22;101.31;28;7.71891;1.92254;12.2009;0.112847;0.0851348;-0.109916
2023-11-08 14:06:03.112;-15.98920;-48.04547;6.556;0;45.28;98.87;28;5.23851;0.682347;7.5154;0.0323752;0.0119908;-0.000932619
2023-11-08 14:06:04.125;-15.98918;-48.04544;6.861;0;45.52;93.99;29;5.63116;-0.0047884;5.31273;-0.0214502;0.149352;0.0566233
2023-11-08 14:06:05.135;-15.98917;-48.04542;6.362;0;46.3;64.69;27;6.42843;-1.52032;6.30154;-0.0620858;-0.0189188;0.0114579
2023-11-08 14:06:06.110;-15.98915;-48.04538;6.762;0;46.06;75.68;28;3.7589;1.45089;5.83706;0.051294;0.0459648;-0.0085268
2023-11-08 14:06:07.071;-15.98913;-48.04535;6.965;0;46;78.12;23;5.85143;0.323217;9.90481;0.00692802;-0.0122573;-0.0189188
2023-11-08 14:06:08.037;-15.98913;-48.04535;5.798;0;46;78.12;26;7.50103;0.92895;11.0636;0.014389;0.0413017;0.00159877
2023-11-08 14:06:09.124;-15.98910;-48.04532;6.416;0;48.4;-2.44;22;6.936;2.07817;7.12036;-0.0418346;-0.0283783;0.0139893
2023-11-08 14:06:10.088;-15.98910;-48.04532;6.416;0;48.52;-1.22;17;5.97114;0.957681;7.84819;0.0387703;0.19958;0.0182527
2023-11-08 14:06:11.107;-15.98909;-48.04529;6.167;0;48.64;-2.44;10;5.58807;0.658405;8.38928;0.0110582;0.0149219;0.00612864
